case_id,model_a,model_b,winner,reasoning_effort_a,reasoning_effort_b
c0001,claude-haiku-4.5,claude-opus-4.7,a,,
c0002,claude-haiku-4.5,gpt-5.4,b,,
c0003,claude-opus-4.7,gpt-5-mini,a,,
c0004,claude-opus-4.7,gpt-5.4,a,,
c0005,claude-haiku-4.5,gpt-5-mini,a,,
c0006,gpt-5.4,gpt-5-mini,b,,
c0007,claude-sonnet-4.6,claude-opus-4.7,b,,
c0008,gpt-5.4,claude-opus-4.7,a,,high
c0009,claude-sonnet-4.6,gpt-5.4,a,,
c0010,gpt-5-mini,claude-opus-4.7,b,,high
c0011,claude-haiku-4.5,claude-opus-4.7,b,,high
c0012,claude-haiku-4.5,claude-sonnet-4.6,b,,
c0013,claude-opus-4.7,claude-opus-4.7,b,,high
c0014,claude-sonnet-4.6,claude-opus-4.7,a,,high
c0015,claude-sonnet-4.6,gpt-5-mini,b,,
c0016,claude-opus-4.7,gpt-5.4,a,high,
c0017,gpt-5-mini,claude-opus-4.7,a,,
c0018,gpt-5-mini,claude-sonnet-4.6,b,,
c0019,claude-sonnet-4.6,gpt-5.4,a,,
c0020,claude-sonnet-4.6,claude-opus-4.7,b,,
c0021,claude-haiku-4.5,claude-opus-4.7,b,,high
c0022,claude-opus-4.7,claude-sonnet-4.6,a,high,
c0023,gpt-5-mini,claude-haiku-4.5,a,,
c0024,claude-opus-4.7,claude-opus-4.7,b,high,
c0025,claude-haiku-4.5,claude-opus-4.7,draw,,
c0026,claude-haiku-4.5,gpt-5.4,a,,
c0027,claude-haiku-4.5,claude-sonnet-4.6,b,,
c0028,claude-opus-4.7,gpt-5.4,a,,
c0029,claude-opus-4.7,gpt-5-mini,a,high,
c0030,gpt-5.4,gpt-5-mini,a,,
c0031,claude-haiku-4.5,gpt-5-mini,draw,,
c0032,claude-haiku-4.5,claude-opus-4.7,b,,high
c0033,claude-opus-4.7,gpt-5.4,a,high,
c0034,gpt-5-mini,claude-opus-4.7,b,,
c0035,claude-opus-4.7,gpt-5-mini,a,high,
c0036,claude-opus-4.7,gpt-5.4,b,,
c0037,claude-haiku-4.5,claude-opus-4.7,b,,
c0038,claude-opus-4.7,claude-sonnet-4.6,a,high,
c0039,gpt-5-mini,gpt-5.4,b,,
c0040,claude-haiku-4.5,gpt-5.4,b,,
c0041,claude-opus-4.7,claude-opus-4.7,b,,high
c0042,claude-sonnet-4.6,claude-haiku-4.5,a,,
c0043,claude-sonnet-4.6,gpt-5.4,a,,
c0044,claude-sonnet-4.6,gpt-5-mini,b,,
c0045,claude-sonnet-4.6,claude-opus-4.7,b,,
c0046,claude-sonnet-4.6,claude-haiku-4.5,b,,
c0047,claude-haiku-4.5,claude-opus-4.7,draw,,high
c0048,claude-opus-4.7,claude-haiku-4.5,b,,
c0049,claude-sonnet-4.6,claude-opus-4.7,b,,high
c0050,gpt-5-mini,claude-sonnet-4.6,b,,
c0051,claude-opus-4.7,claude-opus-4.7,a,high,
c0052,gpt-5-mini,claude-opus-4.7,b,,high
c0053,claude-haiku-4.5,gpt-5-mini,b,,
c0054,claude-sonnet-4.6,claude-opus-4.7,a,,
c0055,gpt-5.4,gpt-5-mini,b,,
c0056,gpt-5.4,claude-sonnet-4.6,a,,
c0057,claude-opus-4.7,gpt-5.4,a,,
c0058,gpt-5.4,claude-opus-4.7,b,,high
c0059,gpt-5-mini,claude-opus-4.7,a,,
c0060,claude-haiku-4.5,gpt-5.4,b,,
c0061,gpt-5-mini,claude-sonnet-4.6,a,,
c0062,claude-opus-4.7,claude-opus-4.7,a,high,
c0063,claude-sonnet-4.6,claude-opus-4.7,b,,
c0064,gpt-5-mini,claude-haiku-4.5,a,,
c0065,gpt-5-mini,claude-opus-4.7,b,,high
c0066,claude-haiku-4.5,claude-opus-4.7,b,,
c0067,claude-opus-4.7,gpt-5-mini,a,,
c0068,claude-sonnet-4.6,gpt-5.4,a,,
c0069,gpt-5.4,claude-opus-4.7,b,,high
c0070,claude-opus-4.7,gpt-5.4,a,,
c0071,claude-haiku-4.5,claude-opus-4.7,b,,high
c0072,claude-haiku-4.5,claude-sonnet-4.6,b,,
c0073,claude-haiku-4.5,gpt-5.4,b,,
c0074,gpt-5-mini,gpt-5.4,b,,
c0075,claude-opus-4.7,claude-sonnet-4.6,draw,high,
c0076,gpt-5.4,claude-opus-4.7,b,,
c0077,claude-opus-4.7,claude-haiku-4.5,a,,
c0078,gpt-5-mini,claude-opus-4.7,b,,high
c0079,gpt-5.4,claude-haiku-4.5,b,,
c0080,claude-opus-4.7,claude-sonnet-4.6,a,high,
c0081,claude-haiku-4.5,claude-sonnet-4.6,a,,
c0082,claude-haiku-4.5,claude-opus-4.7,b,,high
c0083,gpt-5.4,claude-sonnet-4.6,a,,
c0084,gpt-5-mini,claude-opus-4.7,b,,
c0085,claude-opus-4.7,claude-sonnet-4.6,a,,
c0086,claude-haiku-4.5,gpt-5-mini,b,,
c0087,claude-opus-4.7,claude-opus-4.7,draw,high,
c0088,gpt-5-mini,claude-sonnet-4.6,b,,
c0089,gpt-5-mini,gpt-5.4,b,,
c0090,claude-opus-4.7,gpt-5.4,a,high,
c0091,gpt-5.4,claude-opus-4.7,b,,high
c0092,claude-sonnet-4.6,claude-opus-4.7,b,,high
c0093,gpt-5.4,claude-haiku-4.5,draw,,
c0094,claude-sonnet-4.6,gpt-5.4,a,,
c0095,claude-opus-4.7,claude-opus-4.7,b,,high
c0096,claude-sonnet-4.6,gpt-5-mini,a,,
c0097,gpt-5-mini,claude-opus-4.7,draw,,high
c0098,claude-haiku-4.5,claude-sonnet-4.6,b,,
c0099,gpt-5-mini,claude-opus-4.7,b,,
c0100,gpt-5-mini,gpt-5.4,b,,
c0101,gpt-5-mini,claude-haiku-4.5,a,,
c0102,claude-opus-4.7,claude-haiku-4.5,a,high,
c0103,claude-opus-4.7,claude-haiku-4.5,a,,
c0104,claude-opus-4.7,claude-sonnet-4.6,a,,
c0105,claude-opus-4.7,gpt-5.4,a,,
c0106,claude-opus-4.7,gpt-5-mini,draw,high,
c0107,claude-sonnet-4.6,claude-opus-4.7,a,,high
c0108,claude-opus-4.7,claude-haiku-4.5,a,high,
c0109,gpt-5.4,claude-opus-4.7,b,,high
c0110,claude-opus-4.7,gpt-5.4,a,,
c0111,claude-opus-4.7,gpt-5-mini,a,,
c0112,claude-haiku-4.5,claude-sonnet-4.6,draw,,
c0113,claude-haiku-4.5,claude-opus-4.7,b,,
c0114,claude-haiku-4.5,gpt-5-mini,draw,,
c0115,gpt-5-mini,claude-sonnet-4.6,b,,
c0116,claude-sonnet-4.6,gpt-5.4,draw,,
c0117,gpt-5-mini,gpt-5.4,b,,
c0118,claude-opus-4.7,claude-sonnet-4.6,a,,
c0119,claude-opus-4.7,claude-opus-4.7,b,high,
c0120,gpt-5.4,claude-haiku-4.5,b,,
