case_id,model_a,model_b,winner,reasoning_effort_a,reasoning_effort_b
mathlib-lookup-finset,claude-haiku-4.5,claude-opus-4.7-high,b,,
mathlib-lookup-finset,claude-haiku-4.5,claude-sonnet-4.6,a,,
mathlib-lookup-finset,claude-opus-4.7-high,claude-sonnet-4.6,a,,
mathlib-lookup-list-nodup,claude-haiku-4.5,claude-opus-4.7-high,draw,,
mathlib-lookup-list-nodup,claude-haiku-4.5,claude-opus-4.7,draw,,default-effort
mathlib-lookup-list-nodup,claude-haiku-4.5,claude-sonnet-4.6,b,,
mathlib-lookup-list-nodup,claude-haiku-4.5,gpt-5.2,draw,,
mathlib-lookup-list-nodup,claude-haiku-4.5,gpt-5.4,b,,
mathlib-lookup-list-nodup,claude-haiku-4.5,gpt-5.4-mini,draw,,
mathlib-lookup-list-nodup,claude-haiku-4.5,gpt-5.4,b,,long
mathlib-lookup-list-nodup,claude-haiku-4.5,gpt-5.5,b,,
mathlib-lookup-list-nodup,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
mathlib-lookup-list-nodup,claude-opus-4.7-high,claude-sonnet-4.6,b,,
mathlib-lookup-list-nodup,claude-opus-4.7-high,gpt-5.2,draw,,
mathlib-lookup-list-nodup,claude-opus-4.7-high,gpt-5.4,b,,
mathlib-lookup-list-nodup,claude-opus-4.7-high,gpt-5.4-mini,draw,,
mathlib-lookup-list-nodup,claude-opus-4.7-high,gpt-5.4,b,,long
mathlib-lookup-list-nodup,claude-opus-4.7-high,gpt-5.5,b,,
mathlib-lookup-list-nodup,claude-opus-4.7,claude-sonnet-4.6,b,default-effort,
mathlib-lookup-list-nodup,claude-opus-4.7,gpt-5.2,draw,default-effort,
mathlib-lookup-list-nodup,claude-opus-4.7,gpt-5.4,b,default-effort,
mathlib-lookup-list-nodup,claude-opus-4.7,gpt-5.4-mini,draw,default-effort,
mathlib-lookup-list-nodup,claude-opus-4.7,gpt-5.4,b,default-effort,long
mathlib-lookup-list-nodup,claude-opus-4.7,gpt-5.5,b,default-effort,
mathlib-lookup-list-nodup,claude-sonnet-4.6,gpt-5.2,a,,
mathlib-lookup-list-nodup,claude-sonnet-4.6,gpt-5.4,draw,,
mathlib-lookup-list-nodup,claude-sonnet-4.6,gpt-5.4-mini,a,,
mathlib-lookup-list-nodup,claude-sonnet-4.6,gpt-5.4,draw,,long
mathlib-lookup-list-nodup,claude-sonnet-4.6,gpt-5.5,draw,,
mathlib-lookup-list-nodup,gpt-5.2,gpt-5.4,b,,
mathlib-lookup-list-nodup,gpt-5.2,gpt-5.4-mini,draw,,
mathlib-lookup-list-nodup,gpt-5.2,gpt-5.4,b,,long
mathlib-lookup-list-nodup,gpt-5.2,gpt-5.5,b,,
mathlib-lookup-list-nodup,gpt-5.4,gpt-5.4-mini,a,,
mathlib-lookup-list-nodup,gpt-5.4,gpt-5.4,draw,,long
mathlib-lookup-list-nodup,gpt-5.4,gpt-5.5,draw,,
mathlib-lookup-list-nodup,gpt-5.4-mini,gpt-5.4,b,,long
mathlib-lookup-list-nodup,gpt-5.4-mini,gpt-5.5,b,,
mathlib-lookup-list-nodup,gpt-5.4,gpt-5.5,draw,long,
