case_id,model_a,model_b,winner,reasoning_effort_a,reasoning_effort_b
lean-doc-improvement-smoke,claude-haiku-4.5,claude-opus-4.7-high,b,,
lean-doc-improvement-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
lean-doc-improvement-smoke,claude-opus-4.7-high,claude-sonnet-4.6,a,,
lean-doc-requirements-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
lean-doc-requirements-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
lean-doc-requirements-smoke,claude-opus-4.7-high,claude-sonnet-4.6,b,,
lean-doc-improvement-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
lean-doc-improvement-smoke,claude-opus-4.7-high,claude-haiku-4.5,a,,
lean-doc-improvement-smoke,claude-sonnet-4.6,claude-haiku-4.5,a,,
lean-doc-requirements-smoke,claude-opus-4.7-high,claude-sonnet-4.6,b,,
lean-doc-requirements-smoke,claude-opus-4.7-high,claude-haiku-4.5,draw,,
lean-doc-requirements-smoke,claude-sonnet-4.6,claude-haiku-4.5,a,,
lean-doc-improvement-smoke,claude-haiku-4.5,gpt-5.4,b,,
lean-doc-improvement-smoke,claude-opus-4.7-high,gpt-5.4,a,,
lean-doc-improvement-smoke,claude-sonnet-4.6,gpt-5.4,draw,,
lean-doc-requirements-smoke,claude-haiku-4.5,gpt-5.4,b,,
lean-doc-requirements-smoke,claude-opus-4.7-high,gpt-5.4,b,,
lean-doc-requirements-smoke,claude-sonnet-4.6,gpt-5.4,draw,,
lean-doc-improvement-smoke,claude-haiku-4.5,claude-opus-4.7-high,b,,
lean-doc-improvement-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
lean-doc-improvement-smoke,claude-haiku-4.5,gpt-5.4,draw,,
lean-doc-improvement-smoke,claude-opus-4.7-high,claude-sonnet-4.6,a,,
lean-doc-improvement-smoke,claude-opus-4.7-high,gpt-5.4,a,,
lean-doc-improvement-smoke,claude-sonnet-4.6,gpt-5.4,a,,
lean-doc-requirements-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
