case_id,model_a,model_b,winner,reasoning_effort_a,reasoning_effort_b
lean-quality-no-sorry,claude-haiku-4.5,claude-opus-4.7-high,b,,
lean-quality-no-sorry,claude-haiku-4.5,claude-sonnet-4.6,draw,,
lean-quality-no-sorry,claude-opus-4.7-high,claude-sonnet-4.6,a,,
lean-tactic-discipline-axiom-hygiene,claude-haiku-4.5,claude-opus-4.7-high,b,,
lean-tactic-discipline-axiom-hygiene,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
lean-tactic-discipline-axiom-hygiene,claude-haiku-4.5,claude-sonnet-4.6,b,,
lean-tactic-discipline-axiom-hygiene,claude-haiku-4.5,gpt-5.2,b,,
lean-tactic-discipline-axiom-hygiene,claude-haiku-4.5,gpt-5.4,draw,,
lean-tactic-discipline-axiom-hygiene,claude-haiku-4.5,gpt-5.4-mini,a,,
lean-tactic-discipline-axiom-hygiene,claude-haiku-4.5,gpt-5.4,draw,,long
lean-tactic-discipline-axiom-hygiene,claude-haiku-4.5,gpt-5.5,b,,
lean-tactic-discipline-axiom-hygiene,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
lean-tactic-discipline-axiom-hygiene,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
lean-tactic-discipline-axiom-hygiene,claude-opus-4.7-high,gpt-5.2,a,,
lean-tactic-discipline-axiom-hygiene,claude-opus-4.7-high,gpt-5.4,a,,
lean-tactic-discipline-axiom-hygiene,claude-opus-4.7-high,gpt-5.4-mini,a,,
lean-tactic-discipline-axiom-hygiene,claude-opus-4.7-high,gpt-5.4,a,,long
lean-tactic-discipline-axiom-hygiene,claude-opus-4.7-high,gpt-5.5,a,,
lean-tactic-discipline-axiom-hygiene,claude-opus-4.7,claude-sonnet-4.6,draw,default-effort,
lean-tactic-discipline-axiom-hygiene,claude-opus-4.7,gpt-5.2,a,default-effort,
lean-tactic-discipline-axiom-hygiene,claude-opus-4.7,gpt-5.4,a,default-effort,
lean-tactic-discipline-axiom-hygiene,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
lean-tactic-discipline-axiom-hygiene,claude-opus-4.7,gpt-5.4,a,default-effort,long
lean-tactic-discipline-axiom-hygiene,claude-opus-4.7,gpt-5.5,a,default-effort,
lean-tactic-discipline-axiom-hygiene,claude-sonnet-4.6,gpt-5.2,a,,
lean-tactic-discipline-axiom-hygiene,claude-sonnet-4.6,gpt-5.4,a,,
lean-tactic-discipline-axiom-hygiene,claude-sonnet-4.6,gpt-5.4-mini,a,,
lean-tactic-discipline-axiom-hygiene,claude-sonnet-4.6,gpt-5.4,a,,long
lean-tactic-discipline-axiom-hygiene,claude-sonnet-4.6,gpt-5.5,a,,
lean-tactic-discipline-axiom-hygiene,gpt-5.2,gpt-5.4,a,,
lean-tactic-discipline-axiom-hygiene,gpt-5.2,gpt-5.4-mini,a,,
lean-tactic-discipline-axiom-hygiene,gpt-5.2,gpt-5.4,a,,long
lean-tactic-discipline-axiom-hygiene,gpt-5.2,gpt-5.5,draw,,
lean-tactic-discipline-axiom-hygiene,gpt-5.4,gpt-5.4-mini,a,,
lean-tactic-discipline-axiom-hygiene,gpt-5.4,gpt-5.4,draw,,long
lean-tactic-discipline-axiom-hygiene,gpt-5.4,gpt-5.5,b,,
lean-tactic-discipline-axiom-hygiene,gpt-5.4-mini,gpt-5.4,b,,long
lean-tactic-discipline-axiom-hygiene,gpt-5.4-mini,gpt-5.5,b,,
lean-tactic-discipline-axiom-hygiene,gpt-5.4,gpt-5.5,b,long,
lean-tactic-discipline-no-decide-search,claude-haiku-4.5,claude-opus-4.7-high,b,,
